count_id,date,product_id,true_stock,reported_stock,count_error,planted,incident_id
CNT000001,2025-09-03,P001,154.4,154.4,0.0,False,
CNT000002,2025-09-03,P002,115.6,115.6,0.0,False,
CNT000003,2025-09-03,P003,108.2,108.2,0.0,False,
CNT000004,2025-09-03,P004,52.6,52.6,0.0,False,
CNT000005,2025-09-03,P005,121.6,121.6,0.0,False,
CNT000006,2025-09-03,P006,67.0,67.0,0.0,False,
CNT000007,2025-09-03,P007,80.4,80.26,-0.14,False,
CNT000008,2025-09-03,P008,41.2,41.2,0.0,False,
CNT000009,2025-09-03,P009,4.59,4.59,0.0,False,
CNT000010,2025-09-03,P010,3.57,3.57,0.0,False,
CNT000011,2025-09-03,P011,8.66,8.66,0.0,False,
CNT000012,2025-09-03,P012,3.66,3.66,0.0,False,
CNT000013,2025-09-03,P013,21.54,21.54,0.0,False,
CNT000014,2025-09-03,P014,18.78,18.78,0.0,False,
CNT000015,2025-09-03,P015,3.57,3.57,0.0,False,
CNT000016,2025-09-03,P016,4.59,4.54,-0.05,False,
CNT000017,2025-09-03,P017,3.74,3.74,0.0,False,
CNT000018,2025-09-03,P018,3.66,3.66,0.0,False,
CNT000019,2025-09-03,P019,9.45,9.45,0.0,False,
CNT000020,2025-09-03,P020,7.61,7.61,0.0,False,
CNT000021,2025-09-03,P021,4.77,4.77,0.0,False,
CNT000022,2025-09-03,P022,3.4,3.4,0.0,False,
CNT000023,2025-09-03,P023,3.66,3.66,0.0,False,
CNT000024,2025-09-03,P024,3.74,3.74,0.0,False,
CNT000025,2025-09-03,P025,30.14,30.14,0.0,False,
CNT000026,2025-09-03,P026,3.49,3.49,0.0,False,
CNT000027,2025-09-03,P027,3.49,3.49,0.0,False,
CNT000028,2025-09-03,P028,3.83,3.83,0.0,False,
CNT000029,2025-09-03,P029,6.2,6.2,0.0,False,
CNT000030,2025-09-03,P030,3.74,3.74,0.0,False,
CNT000031,2025-09-03,P031,16.63,16.63,0.0,False,
CNT000032,2025-09-03,P032,3.57,3.57,0.0,False,
CNT000033,2025-09-03,P033,29.4,29.4,0.0,False,
CNT000034,2025-09-03,P034,8.49,8.43,-0.06,False,
CNT000035,2025-09-03,P035,8.06,8.19,0.13,False,
CNT000036,2025-09-03,P036,6.81,6.81,0.0,False,
CNT000037,2025-09-03,P037,6.36,6.36,0.0,False,
CNT000038,2025-09-03,P038,28.45,28.45,0.0,False,
CNT000039,2025-09-03,P039,32.45,32.45,0.0,False,
CNT000040,2025-09-03,P040,13.2,13.2,0.0,False,
CNT000041,2025-09-03,P041,47.18,47.18,0.0,False,
CNT000042,2025-09-03,P042,8.04,8.04,0.0,False,
CNT000043,2025-09-03,P043,193.64,193.64,0.0,False,
CNT000044,2025-09-03,P044,119.6,119.6,0.0,False,
CNT000045,2025-09-03,P045,104.2,104.2,0.0,False,
CNT000046,2025-09-03,P046,122.82,122.6,-0.22,False,
CNT000047,2025-09-03,P047,115.26,115.26,0.0,False,
CNT000048,2025-09-03,P048,90.8,90.8,0.0,False,
CNT000049,2025-09-03,P049,40.2,40.2,0.0,False,
CNT000050,2025-09-03,P050,4.0,4.0,0.0,False,
